dyad_id	participant_a	participant_b	dyad_type	relationship	age_difference_years	runs
dyad-001	dyad-001A	dyad-001B	male-male	friends	0	01;02;03;04
dyad-002	dyad-002A	dyad-002B	male-male	friends	1	01;02;03;04
dyad-003	dyad-003A	dyad-003B	male-male	friends	1	01;02;03;04
dyad-004	dyad-004A	dyad-004B	female-female	strangers	0	01;02;03;04
dyad-005	dyad-005A	dyad-005B	male-male	friends	1	01;02;03;04
dyad-006	dyad-006A	dyad-006B	male-male	strangers	1	01;02;03;04
dyad-007	dyad-007A	dyad-007B	male-male	strangers	1	01;02;03;04
dyad-008	dyad-008A	dyad-008B	female-female	strangers	4	01;02;03;04
dyad-009	dyad-009A	dyad-009B	male-male	strangers	0	01;02;03;04
dyad-010	dyad-010A	dyad-010B	male-male	strangers	0	01;02;03;04
dyad-011	dyad-011A	dyad-011B	male-male	strangers	1	01;02;03;04
dyad-012	dyad-012A	dyad-012B	female-female	friends	0	01;02;03;04
dyad-013	dyad-013A	dyad-013B	male-male	strangers	1	01;02;03;04
dyad-014	dyad-014A	dyad-014B	female-female	strangers	0	01;02;03;04
dyad-015	dyad-015A	dyad-015B	female-female	strangers	0	01;02;03;04
dyad-016	dyad-016A	dyad-016B	male-male	strangers	0	01;02;03;04
dyad-017	dyad-017A	dyad-017B	male-male	strangers	0	01;02;03;04
dyad-018	dyad-018A	dyad-018B	male-male	strangers	0	01;02;03;04
dyad-019	dyad-019A	dyad-019B	female-female	strangers	0	01;02;03;04
dyad-020	dyad-020A	dyad-020B	male-male	strangers	0	01;02;03;04
dyad-021	dyad-021A	dyad-021B	female-female	friends	1	01;02;03;04
dyad-022	dyad-022A	dyad-022B	male-male	strangers	4	01;02;03;04
dyad-023	dyad-023A	dyad-023B	female-female	friends	0	01;02;03;04
dyad-024	dyad-024A	dyad-024B	female-female	friends	0	01;02;03;04
dyad-025	dyad-025A	dyad-025B	female-female	friends	1	01;02;03;04
dyad-026	dyad-026A	dyad-026B	female-female	friends	1	01;02;03;04
dyad-027	dyad-027A	dyad-027B	female-female	friends	0	01;02;03;04
dyad-028	dyad-028A	dyad-028B	male-male	strangers	4	01;02;03;04
dyad-029	dyad-029A	dyad-029B	female-female	strangers	4	01;02;03;04
dyad-030	dyad-030A	dyad-030B	female-female	strangers	1	01;02;03;04
dyad-031	dyad-031A	dyad-031B	female-female	friends	1	01;02;03;04
dyad-032	dyad-032A	dyad-032B	male-male	friends	0	01;02;03;04
