participant_id	dyad_id	member	age	gender	handedness	vision
dyad-001A	dyad-001	A	21	male	right	normal_or_corrected
dyad-001B	dyad-001	B	21	male	right	normal_or_corrected
dyad-002A	dyad-002	A	21	male	right	normal_or_corrected
dyad-002B	dyad-002	B	20	male	right	normal_or_corrected
dyad-003A	dyad-003	A	19	male	right	normal_or_corrected
dyad-003B	dyad-003	B	18	male	right	normal_or_corrected
dyad-004A	dyad-004	A	20	female	right	normal_or_corrected
dyad-004B	dyad-004	B	20	female	right	normal_or_corrected
dyad-005A	dyad-005	A	20	male	right	normal_or_corrected
dyad-005B	dyad-005	B	21	male	right	normal_or_corrected
dyad-006A	dyad-006	A	20	male	right	normal_or_corrected
dyad-006B	dyad-006	B	21	male	right	normal_or_corrected
dyad-007A	dyad-007	A	22	male	right	normal_or_corrected
dyad-007B	dyad-007	B	21	male	right	normal_or_corrected
dyad-008A	dyad-008	A	20	female	right	normal_or_corrected
dyad-008B	dyad-008	B	24	female	right	normal_or_corrected
dyad-009A	dyad-009	A	24	male	right	normal_or_corrected
dyad-009B	dyad-009	B	24	male	right	normal_or_corrected
dyad-010A	dyad-010	A	25	male	right	normal_or_corrected
dyad-010B	dyad-010	B	25	male	right	normal_or_corrected
dyad-011A	dyad-011	A	24	male	right	normal_or_corrected
dyad-011B	dyad-011	B	25	male	right	normal_or_corrected
dyad-012A	dyad-012	A	19	female	right	normal_or_corrected
dyad-012B	dyad-012	B	19	female	right	normal_or_corrected
dyad-013A	dyad-013	A	18	male	right	normal_or_corrected
dyad-013B	dyad-013	B	19	male	right	normal_or_corrected
dyad-014A	dyad-014	A	24	female	right	normal_or_corrected
dyad-014B	dyad-014	B	24	female	right	normal_or_corrected
dyad-015A	dyad-015	A	22	female	right	normal_or_corrected
dyad-015B	dyad-015	B	22	female	right	normal_or_corrected
dyad-016A	dyad-016	A	23	male	right	normal_or_corrected
dyad-016B	dyad-016	B	23	male	right	normal_or_corrected
dyad-017A	dyad-017	A	18	male	right	normal_or_corrected
dyad-017B	dyad-017	B	18	male	right	normal_or_corrected
dyad-018A	dyad-018	A	23	male	right	normal_or_corrected
dyad-018B	dyad-018	B	23	male	right	normal_or_corrected
dyad-019A	dyad-019	A	20	female	right	normal_or_corrected
dyad-019B	dyad-019	B	20	female	right	normal_or_corrected
dyad-020A	dyad-020	A	21	male	right	normal_or_corrected
dyad-020B	dyad-020	B	21	male	right	normal_or_corrected
dyad-021A	dyad-021	A	20	female	right	normal_or_corrected
dyad-021B	dyad-021	B	19	female	right	normal_or_corrected
dyad-022A	dyad-022	A	25	male	right	normal_or_corrected
dyad-022B	dyad-022	B	21	male	right	normal_or_corrected
dyad-023A	dyad-023	A	20	female	right	normal_or_corrected
dyad-023B	dyad-023	B	20	female	right	normal_or_corrected
dyad-024A	dyad-024	A	20	female	right	normal_or_corrected
dyad-024B	dyad-024	B	20	female	right	normal_or_corrected
dyad-025A	dyad-025	A	25	female	right	normal_or_corrected
dyad-025B	dyad-025	B	26	female	right	normal_or_corrected
dyad-026A	dyad-026	A	19	female	right	normal_or_corrected
dyad-026B	dyad-026	B	20	female	right	normal_or_corrected
dyad-027A	dyad-027	A	21	female	right	normal_or_corrected
dyad-027B	dyad-027	B	21	female	right	normal_or_corrected
dyad-028A	dyad-028	A	24	male	right	normal_or_corrected
dyad-028B	dyad-028	B	20	male	right	normal_or_corrected
dyad-029A	dyad-029	A	24	female	right	normal_or_corrected
dyad-029B	dyad-029	B	20	female	right	normal_or_corrected
dyad-030A	dyad-030	A	20	female	right	normal_or_corrected
dyad-030B	dyad-030	B	21	female	right	normal_or_corrected
dyad-031A	dyad-031	A	20	female	right	normal_or_corrected
dyad-031B	dyad-031	B	19	female	right	normal_or_corrected
dyad-032A	dyad-032	A	25	male	right	normal_or_corrected
dyad-032B	dyad-032	B	25	male	right	normal_or_corrected
