dyad_id	run	onset	duration	completion_time_s	trial_index	trial_type	cooperation_mode	difficulty	stimulus	role_a	role_b	timing_source
dyad-001	run-01	102.090909	20.000	14.591	1	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	141.000000	20.000	16.730	2	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	180.000000	20.000	14.708	3	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	218.909091	20.000	9.558	4	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	257.545455	20.000	7.749	5	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	296.090909	20.000	9.821	6	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	334.818182	20.000	8.261	7	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	373.363636	20.000	10.952	8	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	412.090909	20.000	8.960	9	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	450.636364	20.000	12.197	10	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	489.454545	20.000	8.731	11	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	528.000000	20.000	8.603	12	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	566.636364	20.000	8.724	13	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	605.181818	20.000	8.985	14	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-01	643.727273	20.000	8.790	15	coloring	leader-follower	easy	carrot	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	41.818182	20.000	13.142	1	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	80.636364	20.000	12.700	2	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	119.545455	20.000	15.115	3	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	158.363636	20.000	16.668	4	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	197.454545	20.000	14.394	5	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	236.272727	20.000	13.694	6	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	275.181818	20.000	9.919	7	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	313.818182	20.000	12.795	8	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	352.636364	20.000	14.526	9	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	391.454545	20.000	12.273	10	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	430.272727	20.000	10.806	11	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	468.818182	20.000	12.693	12	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	507.636364	20.000	11.472	13	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	546.363636	20.000	13.608	14	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-02	585.272727	20.000	13.342	15	coloring	leader-follower	hard	wave	pattern-board pen position	applying-board contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	43.272727	20.000	8.020	1	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	81.818182	20.000	8.284	2	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	120.272727	20.000	6.310	3	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	158.727273	20.000	7.326	4	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	197.181818	20.000	7.326	5	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	235.545455	20.000	7.854	6	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	274.090909	20.000	8.000	7	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	312.545455	20.000	9.229	8	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	351.090909	20.000	6.207	9	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	389.545455	20.000	5.366	10	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	427.818182	20.000	6.077	11	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	466.272727	20.000	6.600	12	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	504.636364	20.000	6.963	13	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	543.090909	20.000	5.361	14	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-03	581.454545	20.000	5.361	15	coloring	egalitarian	easy	carrot	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	45.363636	20.000	9.152	1	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	84.000000	20.000	9.152	2	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	122.727273	20.000	11.768	3	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	161.454545	20.000	12.383	4	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	200.272727	20.000	11.467	5	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	239.000000	20.000	11.467	6	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	277.636364	20.000	10.953	7	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
dyad-001	run-04	316.363636	20.000	10.004	8	coloring	egalitarian	hard	wave	x-axis position and contact force	y-axis position and contact force	SNIRF trial-start marker; fixed 20-s task duration; completion time from behavior
